Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"NVDA","NVIDIA Corp","183,512,191.00","8.14%","Common Stock","67066G104","$37,920,959,148.24"
"AAPL","Apple Inc","111,376,443.00","7.25%","Common Stock","037833100","$33,793,840,335.06"
"MSFT","Microsoft Corp","56,331,009.00","5.90%","Common Stock","594918104","$27,469,816,538.85"
"AMZN","Amazon.com Inc","81,572,724.00","4.97%","Common Stock","023135106","$23,168,285,070.48"
"MU","Micron Technology Inc","23,608,810.00","4.20%","Common Stock","595112103","$19,583,507,895"
"AMD","Advanced Micro Devices Inc","34,136,185.00","3.55%","Common Stock","007903107","$16,543,760,698.40"
"GOOGL","Alphabet Inc","44,164,286.00","3.54%","Common Stock","02079K305","$16,495,802,463.86"
"GOOG","Alphabet Inc","41,373,724.00","3.31%","Common Stock","02079K107","$15,410,470,978.28"
"AVGO","Broadcom Inc","35,953,845.00","3.03%","Common Stock","11135F101","$14,102,176,624.35"
"META","Meta Platforms Inc","22,456,132.00","2.84%","Common Stock","30303M102","$13,254,507,351.68"
"TSLA","Tesla Inc","37,881,442.00","2.62%","Common Stock","88160R101","$12,200,854,839.36"
"WMT","Walmart Inc","102,123,337.00","2.43%","Common Stock","931142103","$11,306,074,639.27"
"INTC","Intel Corp","105,217,915.00","2.05%","Common Stock","458140100","$9,574,830,265"
"CSCO","Cisco Systems Inc","82,512,914.00","2.05%","Common Stock","17275R102","$9,559,946,216.04"
"COST","Costco Wholesale Corp","9,287,706.00","1.90%","Common Stock","22160K105","$8,861,214,540.48"
"AMAT","Applied Materials Inc","16,621,262.00","1.85%","Common Stock","038222105","$8,613,304,181.02"
"LRCX","Lam Research Corp","26,180,341.00","1.66%","Common Stock","512807306","$7,712,990,262.01"
"NFLX","Netflix Inc","88,151,871.00","1.39%","Common Stock","64110L106","$6,464,176,700.43"
"PLTR","Palantir Technologies Inc","48,067,629.00","1.30%","Common Stock","69608A108","$6,039,697,583.85"
"PANW","Palo Alto Networks Inc","17,082,813.00","1.27%","Common Stock","697435105","$5,929,956,876.69"
"TXN","Texas Instruments Inc","19,052,545.00","1.11%","Common Stock","882508104","$5,125,896,706.80"
"KLAC","KLA Corp","27,346,428.00","1.07%","Common Stock","482480100","$4,997,559,717"
"LIN","Linde PLC","9,679,160.00","1.00%","Common Stock","G54950103","$4,650,449,213.60"
"SPCX","Space Exploration Technologies Corp","40,124,854.00","0.99%","Common Stock","84615Q103","$4,595,499,528.62"
"CRWD","Crowdstrike Holdings Inc","21,318,260.00","0.93%","Common Stock","22788C105","$4,317,800,380.40"
"AMGN","Amgen Inc","11,298,643.00","0.92%","Common Stock","031162100","$4,280,716,873.41"
"TMUS","T-Mobile US Inc","22,655,639.00","0.86%","Common Stock","872590104","$4,012,087,110.51"
"PEP","PepsiCo Inc","28,612,877.00","0.86%","Common Stock","713448108","$3,995,216,015.51"
"SNDK","Sandisk Corp","3,100,235.00","0.86%","Common Stock","80004C200","$3,993,195,687.05"
"STX","Seagate Technology Holdings PLC","4,694,157.00","0.84%","Common Stock","G7997R103","$3,901,126,116.42"
"WDC","Western Digital Corp","7,215,833.00","0.82%","Common Stock","958102105","$3,804,331,474.26"
"ADI","Analog Devices Inc","10,197,067.00","0.79%","Common Stock","032654105","$3,690,114,605.96"
"MRVL","Marvell Technology Inc","18,313,685.00","0.76%","Common Stock","573874104","$3,548,734,310.88"
"GILD","Gilead Sciences Inc","25,991,871.00","0.73%","Common Stock","375558103","$3,408,833,881.65"
"QCOM","QUALCOMM Inc","22,065,197.00","0.72%","Common Stock","747525103","$3,344,421,909.29"
"ASML","ASML Holding NV","1,918,391.00","0.68%","American Depository Receipt - NY","N07059210","$3,150,995,585.32"
"BKNG","Booking Holdings Inc","16,221,800.00","0.67%","Common Stock","09857L108","$3,126,103,078"
"SHOP","Shopify Inc","25,531,619.00","0.64%","Common Stock","82509L107","$2,987,454,739.19"
"ISRG","Intuitive Surgical Inc","7,414,293.00","0.60%","Common Stock","46120E602","$2,783,399,735.13"
"APP","AppLovin Corp","6,400,362.00","0.56%","Common Stock","03831W108","$2,599,571,029.92"
"FTNT","Fortinet Inc","15,337,832.00","0.54%","Common Stock","34959E109","$2,503,287,560.72"
"VRTX","Vertex Pharmaceuticals Inc","5,313,347.00","0.54%","Common Stock","92532F100","$2,501,098,699.84"
"SBUX","Starbucks Corp","23,859,280.00","0.53%","Common Stock","855244109","$2,466,333,773.60"
"ADP","Automatic Data Processing Inc","8,368,264.00","0.48%","Common Stock","053015103","$2,257,590,261.92"
"ADBE","Adobe Inc","8,461,759.00","0.46%","Common Stock","00724F101","$2,126,778,507.06"
"ARM","ARM Holdings PLC","8,876,466.00","0.46%","American Depository Receipt","042068205","$2,122,007,961.96"
"CEG","Constellation Energy Corp","7,561,418.00","0.44%","Common Stock","21037T109","$2,069,635,720.78"
"MELI","MercadoLibre Inc","1,060,867.00","0.43%","Common Stock","58733R102","$2,014,363,650.93"
"CDNS","Cadence Design Systems Inc","5,774,155.00","0.42%","Common Stock","127387108","$1,940,982,203.25"
"CSX","CSX Corp","38,899,567.00","0.42%","Common Stock","126408103","$1,938,365,423.61"
"MNST","Monster Beverage Corp","20,474,406.00","0.41%","Common Stock","61174X109","$1,915,380,681.30"
"MAR","Marriott International Inc/MD","5,520,255.00","0.41%","Common Stock","571903202","$1,914,590,041.65"
"DDOG","Datadog Inc","6,925,792.00","0.41%","Common Stock","23804L103","$1,894,896,691.20"
"CMCSA","Comcast Corp","74,585,871.00","0.39%","Common Stock","20030N101","$1,831,828,991.76"
"INTU","Intuit Inc","5,726,433.00","0.39%","Common Stock","461202103","$1,823,239,002.87"
"DASH","DoorDash Inc","8,611,208.00","0.37%","Common Stock","25809K105","$1,726,547,204"
"CTAS","Cintas Corp","8,375,761.00","0.37%","Common Stock","172908105","$1,708,739,001.61"
"ROST","Ross Stores Inc","6,744,091.00","0.37%","Common Stock","778296103","$1,705,648,054.81"
"MDLZ","Mondelez International Inc","26,872,848.00","0.36%","Common Stock","609207105","$1,658,860,907.04"
